User_ID,Age,Gender,Height,Weight,BMI_Category,Duration,Heart_Rate,Body_Temp,target_weight_loss
101,25,Male,175,85,Overweight,45,75,36.5,8.5
102,30,Female,160,70,Overweight,30,80,36.8,7
103,28,Male,180,95,Overweight,60,85,37,9.5
104,35,Female,165,60,Normal weight,40,72,36.6,0
105,40,Male,170,110,Obese,50,78,36.9,11
106,22,Female,155,55,Normal weight,35,70,36.4,0
107,26,Male,178,88,Overweight,50,76,36.7,8.8
108,32,Female,162,68,Overweight,55,82,37.1,6.8
109,29,Male,182,105,Obese,65,90,37.2,10.5
110,34,Female,168,72,Overweight,45,77,36.8,7.2
111,68,male,190,94,Overweight,29,105,40.8,9.4
112,20,female,166,60,Normal weight,14,94,40.3,0
113,69,male,179,79,Normal weight,5,88,38.7,0
114,34,female,179,71,Normal weight,13,100,40.5,0
115,27,female,154,58,Normal weight,10,81,39.8,0
116,36,female,151,50,Normal weight,23,96,40.7,0
117,33,female,158,56,Normal weight,22,95,40.5,0
118,41,male,175,85,Overweight,25,100,40.7,8.5
119,60,male,186,94,Overweight,21,97,40.4,9.4
120,26,female,146,51,Normal weight,16,90,40.2,0
121,36,female,177,76,Normal weight,1,74,37.8,0
122,21,female,157,56,Normal weight,17,100,40,0
123,66,male,171,79,Overweight,11,90,40,7.9
124,32,female,157,54,Normal weight,18,93,40.4,0
125,53,male,182,85,Overweight,2,82,38.1,8.5
126,39,female,156,62,Overweight,28,104,40.8,6.2
127,39,male,182,82,Normal weight,4,82,38.6,0
128,46,male,169,67,Normal weight,11,89,40.2,0
129,27,female,171,65,Normal weight,4,85,38.6,0
130,50,male,188,86,Normal weight,14,94,40.2,0
131,67,male,189,93,Overweight,8,77,39.2,9.3
132,31,female,148,50,Normal weight,8,84,39.5,0
133,33,female,157,60,Normal weight,3,80,38.7,0
134,20,female,165,59,Normal weight,29,100,41,0
135,48,male,182,85,Overweight,1,80,37.7,8.5
136,29,male,176,75,Normal weight,10,83,39.7,0
137,33,male,173,73,Normal weight,7,78,39.3,0
138,42,male,190,88,Normal weight,3,83,38.9,0
139,62,female,159,59,Normal weight,29,106,41.2,0
140,38,male,171,75,Overweight,2,81,38.2,7.5
141,20,male,183,88,Overweight,16,97,40.5,8.8
142,25,female,160,59,Normal weight,24,102,40.3,0
143,24,female,165,59,Normal weight,18,91,40.2,0
144,42,female,165,68,Obese,22,93,40.8,6.8
145,22,male,182,84,Overweight,29,114,41,8.4
146,74,female,158,59,Normal weight,10,93,39.6,0
147,70,female,154,59,Normal weight,10,88,40,0
148,26,female,182,80,Normal weight,21,96,40.5,0
149,44,male,184,86,Overweight,25,114,40.8,8.6
150,61,male,183,86,Overweight,1,81,38.3,8.6
151,68,female,157,57,Normal weight,13,92,40.1,0
152,61,female,176,70,Normal weight,20,104,40.5,0
153,63,male,179,80,Obese,25,108,40.8,8
154,54,female,171,66,Normal weight,20,98,40.1,0
155,54,female,169,66,Normal weight,3,80,38.9,0
156,47,female,155,55,Normal weight,16,93,40.5,0
157,33,male,184,86,Overweight,8,86,39.9,8.6
158,24,female,171,66,Normal weight,24,105,40.6,0
159,24,male,195,98,Overweight,20,96,40.6,9.8
160,48,male,152,59,Overweight,2,79,38,5.9
161,35,male,193,93,Obese,10,83,39.7,9.3
162,21,male,168,71,Overweight,3,78,38.5,7.1
163,21,female,179,73,Normal weight,9,90,39.6,0
164,22,female,158,62,Normal weight,25,105,40.6,0
165,69,female,174,69,Normal weight,2,80,38.1,0
166,53,male,191,101,Overweight,21,106,40.7,10.1
167,68,female,155,58,Normal weight,15,100,40.3,0
168,69,female,164,65,Normal weight,23,113,40.4,0
169,28,male,198,101,Overweight,19,95,40.6,10.1
170,70,male,188,89,Overweight,7,82,39.3,8.9
171,36,female,170,64,Normal weight,9,84,39.6,0
172,77,female,177,80,Overweight,16,98,40.6,8
173,32,female,167,63,Normal weight,9,99,39.7,0
174,62,female,185,77,Normal weight,13,84,40.4,0
175,64,female,151,56,Normal weight,20,97,40.4,0
176,45,male,175,79,Overweight,27,104,40.6,7.9
177,45,male,158,61,Normal weight,20,97,40.7,0
178,22,female,177,71,Normal weight,10,93,39.8,0
179,45,male,169,69,Normal weight,22,113,40.6,0
180,66,female,174,69,Normal weight,28,111,40.9,0
181,31,male,182,83,Overweight,20,101,40.9,8.3
182,57,female,163,68,Overweight,29,109,40.7,6.8
183,53,male,192,93,Overweight,5,90,39.1,9.3
184,22,female,179,67,Normal weight,8,77,39.5,0
185,67,male,192,92,Obese,24,108,40.7,9.2
186,27,female,168,64,Normal weight,2,76,38.2,0
187,57,male,178,83,Overweight,2,79,38.1,8.3
188,49,female,168,68,Normal weight,20,99,40.6,0
189,39,female,168,63,Normal weight,29,108,40.7,0
190,47,male,165,72,Overweight,20,96,40.3,7.2
191,62,male,197,101,Overweight,17,103,40.3,10.1
192,41,male,187,89,Overweight,23,99,40.7,8.9
193,34,female,144,50,Normal weight,7,83,39.3,0
194,40,female,163,62,Normal weight,27,111,41.2,0
195,55,female,155,57,Normal weight,11,92,39.8,0
196,44,male,189,88,Normal weight,13,94,40,0
197,45,female,160,60,Normal weight,16,99,40.4,0
198,49,female,164,64,Normal weight,19,105,40.4,0
199,46,female,166,68,Normal weight,12,101,40.1,0
200,25,male,202,100,Normal weight,9,94,39.8,0
201,68,male,171,80,Overweight,22,95,40.5,8
202,25,female,169,64,Normal weight,14,101,40.2,0
203,31,female,174,67,Normal weight,9,93,39.5,0
204,57,male,184,91,Overweight,7,95,39.2,9.1
205,27,female,159,59,Normal weight,14,88,39.9,0
206,40,male,201,98,Normal weight,24,110,40.7,0
207,57,female,171,74,Overweight,2,73,38.6,7.4
208,23,female,155,62,Overweight,5,74,39.2,6.2
209,23,male,189,87,Normal weight,23,110,40,0
210,43,male,183,88,Overweight,26,107,40.7,8.8
211,74,male,201,107,Overweight,14,96,40.1,10.7
212,45,female,158,53,Normal weight,23,106,40.7,0
213,31,female,165,60,Normal weight,25,115,40.8,0
214,21,male,195,93,Normal weight,6,93,39.2,0
215,50,male,190,96,Overweight,3,80,38.3,9.6
216,39,male,175,74,Normal weight,9,93,39.5,0
217,57,male,169,81,Overweight,30,112,40.9,8.1
218,26,female,159,53,Normal weight,19,92,40.5,0
219,34,male,181,83,Overweight,25,102,40.9,8.3
220,55,female,160,62,Normal weight,4,87,39.1,0
221,52,female,171,67,Normal weight,15,89,40.6,0
222,21,male,188,90,Overweight,29,110,40.8,9
223,20,female,136,45,Normal weight,11,94,40.1,0
224,79,female,152,60,Overweight,29,107,40.8,6
225,21,male,189,91,Overweight,27,114,41,9.1
226,50,male,171,74,Overweight,2,82,38.1,7.4
227,29,female,180,76,Normal weight,12,97,39.9,0
228,22,male,194,92,Normal weight,6,92,39,0
229,28,female,158,60,Normal weight,27,113,40.8,0
230,38,male,188,93,Overweight,28,104,40.9,9.3
231,23,male,169,73,Overweight,25,102,40.7,7.3
232,68,female,159,68,Overweight,24,108,40.5,6.8
233,79,male,176,86,Overweight,20,102,40.1,8.6
234,35,female,182,70,Normal weight,2,83,38.4,0
235,67,male,201,96,Normal weight,18,105,40.5,0
236,21,female,156,52,Normal weight,12,82,39.8,0
237,44,female,143,49,Normal weight,17,92,40.2,0
238,43,female,175,72,Normal weight,23,100,40.7,0
239,21,male,186,79,Normal weight,29,111,41,0
240,32,female,170,70,Normal weight,10,98,39.7,0
241,79,male,179,91,Overweight,27,107,40.4,9.1
242,51,male,192,96,Overweight,19,97,40.6,9.6
243,60,female,174,67,Normal weight,11,99,39.7,0
244,49,male,184,86,Overweight,26,103,40.8,8.6
245,46,male,179,84,Overweight,6,82,39.2,8.4
246,35,female,149,54,Normal weight,21,111,40.5,0
247,31,male,172,76,Overweight,9,94,39.7,7.6
248,42,male,185,78,Normal weight,26,110,41.4,0
249,66,female,174,69,Normal weight,13,87,39.8,0
250,52,male,189,90,Overweight,22,96,40.5,9
251,59,male,166,73,Overweight,23,101,40.4,7.3
252,23,male,169,71,Normal weight,16,102,40.1,0
253,49,female,164,63,Normal weight,5,91,38.9,0
254,25,female,157,57,Normal weight,23,107,40.8,0
255,20,male,188,84,Normal weight,27,104,41,0
256,28,female,163,66,Normal weight,15,94,40.1,0
257,60,male,182,90,Overweight,11,90,40.2,9
258,29,female,178,77,Normal weight,15,95,40.4,0
259,40,male,184,87,Overweight,5,88,39.5,8.7
260,26,male,191,93,Overweight,17,96,40.3,9.3
261,26,female,176,76,Normal weight,19,97,40.4,0
262,25,male,158,58,Normal weight,6,90,39.2,0
263,60,female,190,87,Normal weight,3,84,38.9,0
264,25,male,181,81,Normal weight,23,101,40.8,0
265,39,female,165,65,Normal weight,19,106,40.6,0
266,30,female,153,53,Normal weight,26,108,40.6,0
267,23,male,198,100,Overweight,12,90,40.4,10
268,37,female,148,51,Normal weight,29,108,40.6,0
269,22,female,147,47,Normal weight,17,101,40.3,0
270,26,female,170,68,Normal weight,23,105,40.7,0
271,56,female,167,60,Normal weight,12,86,40.2,0
272,43,male,171,79,Overweight,30,115,40.8,7.9
273,38,female,169,65,Normal weight,14,94,40.1,0
274,24,male,179,80,Obese,14,90,40.7,8
275,25,female,164,63,Normal weight,21,101,40.7,0
276,31,female,163,62,Normal weight,4,88,39.1,0
277,54,female,151,57,Obese,25,115,40.4,5.7
278,34,female,190,91,Overweight,12,89,40.2,9.1
279,28,female,176,72,Normal weight,27,112,40.7,0
280,24,male,191,95,Overweight,6,88,39.3,9.5
281,27,female,167,69,Normal weight,15,90,40.4,0
282,35,female,154,57,Normal weight,19,94,40.6,0
283,49,male,183,89,Overweight,25,111,40.8,8.9
284,36,male,185,91,Overweight,2,91,38.1,9.1
285,58,female,192,83,Normal weight,18,101,40.8,0
286,40,female,157,61,Normal weight,12,92,40,0
287,31,male,179,77,Normal weight,24,97,40.8,0
288,50,male,182,86,Overweight,17,101,40.3,8.6
289,36,male,202,109,Overweight,6,87,39.1,10.9
290,34,female,163,61,Normal weight,13,96,40.1,0
291,78,female,153,54,Normal weight,13,84,40.3,0
292,41,male,178,76,Normal weight,28,104,40.8,0
293,41,male,172,71,Normal weight,7,87,39.5,0
294,24,male,178,77,Normal weight,19,98,40.1,0
295,67,female,173,69,Normal weight,20,105,40.5,0
296,47,female,179,75,Normal weight,25,110,40.7,0
297,42,female,154,52,Normal weight,17,101,40.6,0
298,25,female,180,75,Normal weight,23,97,40.6,0
299,25,male,179,78,Normal weight,17,101,40.3,0
300,58,female,165,68,Obese,6,88,39.4,6.8
301,68,male,191,98,Overweight,22,99,41,9.8
302,24,male,181,91,Overweight,14,97,40.4,9.1
303,38,male,192,92,Obese,21,104,40.6,9.2
304,26,female,164,59,Normal weight,23,108,40.5,0
305,64,male,178,83,Overweight,24,103,41,8.3
306,49,female,174,75,Normal weight,7,93,39.2,0
307,73,female,158,57,Normal weight,29,103,40.9,0
308,27,male,180,86,Overweight,24,107,40.7,8.6
309,66,male,171,72,Normal weight,18,105,40.5,0
310,39,male,199,104,Overweight,26,101,40.7,10.4
311,30,female,168,62,Normal weight,6,76,39.4,0
312,76,male,187,96,Overweight,12,96,40.1,9.6
313,60,male,193,90,Normal weight,15,95,40,0
314,54,male,188,90,Overweight,23,108,40.9,9
315,49,female,166,66,Normal weight,11,89,39.6,0
316,24,female,173,66,Normal weight,7,82,39.3,0
317,28,female,161,57,Normal weight,6,83,39.5,0
318,72,male,197,102,Overweight,25,106,40.9,10.2
319,32,male,171,78,Overweight,29,112,40.9,7.8
320,36,female,159,59,Normal weight,17,93,40.3,0
321,65,male,204,103,Normal weight,14,93,40.1,0
322,36,female,163,67,Overweight,27,97,40.7,6.7
323,32,female,159,63,Obese,23,103,40.3,6.3
324,42,male,180,84,Overweight,2,80,38.6,8.4
325,34,male,191,94,Overweight,29,109,40.9,9.4
